Size,Quick Avg Count,Quick Count CV %,Quick Avg Time ns,Quick Time CV %,Merge Avg Count,Merge Count CV %,Merge Avg Time ns,Merge Time CV %
100,662.52,10.43,10282.50,30.96,541.72,1.21,14085.00,25.02
200,1570.45,6.08,20977.50,10.03,1280.55,0.63,28655.00,14.17
300,2578.43,5.79,28600.00,29.39,2098.15,0.49,42232.50,3.05
400,3666.62,6.92,16000.00,2.04,2960.62,0.34,58205.00,2.29
500,4718.02,6.32,41980.00,41.43,3856.40,0.34,446997.50,78.28
600,6042.65,6.02,57225.00,49.13,4796.23,0.28,80102.50,50.71
700,7221.95,7.25,80577.50,22.47,5745.62,0.31,135520.00,116.93
800,8475.20,5.97,79747.50,27.62,6718.40,0.25,113540.00,33.66
900,9563.08,4.40,61742.50,18.46,7708.32,0.23,81875.00,18.49
1000,11096.02,5.57,54465.00,1.82,8705.62,0.24,77400.00,8.81
1100,12418.00,6.14,60250.00,8.01,9737.60,0.20,85545.00,6.68
1200,13625.58,4.89,66697.50,10.49,10786.08,0.19,94350.00,9.66
